timestamp,lat,lon,vel,elev,prox,warninglight
a23:16:0.984 28/11/2017,37.8667,-122.2622,0.02,68.9,0,0
a23:16:3.0 28/11/2017,37.8667,-122.2622,0.02,68.9,0,0
a23:16:4.0 28/11/2017,37.8667,-122.2622,0.01,68.9,0,0
a23:16:6.0 28/11/2017,37.8667,-122.2622,0.05,68.9,0,0
a23:16:7.0 28/11/2017,37.8667,-122.2622,0.03,68.9,0,0
a23:16:8.0 28/11/2017,37.8667,-122.2622,0.01,68.9,0,0
a23:16:10.0 28/11/2017,37.8667,-122.2622,0.03,68.9,0,0
a23:16:11.0 28/11/2017,37.8667,-122.2622,0.02,68.9,0,0
a23:16:12.984 28/11/2017,37.8667,-122.2622,0.02,69.1,0,0
a23:16:14.0 28/11/2017,37.8667,-122.2622,0.02,69.1,0,0
a23:16:15.0 28/11/2017,37.8667,-122.2622,0.01,69.1,0,0
a23:16:16.984 28/11/2017,37.8667,-122.2622,0.01,69.1,0,0
a23:16:18.0 28/11/2017,37.8667,-122.2622,0.03,69.1,0,0
a23:16:19.0 28/11/2017,37.8667,-122.2622,0.04,69.1,0,0
a23:16:20.984 28/11/2017,37.8667,-122.2622,0.06,69.1,0,0
a23:16:22.0 28/11/2017,37.8667,-122.2622,0.05,69.1,0,0
a23:16:24.0 28/11/2017,37.8667,-122.2622,0.06,69.1,0,0
a23:16:24.984 28/11/2017,37.8667,-122.2622,0.08,69.1,0,0
a23:16:26.0 28/11/2017,37.8667,-122.2622,0.07,69.1,0,0
a23:16:28.0 28/11/2017,37.8667,-122.2622,0.07,69.1,0,0
a23:16:28.984 28/11/2017,37.8667,-122.2622,0.07,69.1,0,0
a23:16:30.0 28/11/2017,37.8667,-122.2622,0.07,69.1,0,0
a23:16:32.0 28/11/2017,37.8667,-122.2622,0.05,69.1,0,0
a23:16:32.984 28/11/2017,37.8667,-122.2622,0.05,69.1,0,0
a23:16:35.0 28/11/2017,37.8667,-122.2622,0.07,69.1,0,0
a23:16:36.0 28/11/2017,37.8667,-122.2622,0.08,69.1,0,0
a23:16:36.984 28/11/2017,37.8667,-122.2622,0.07,69.1,0,0
a23:16:39.0 28/11/2017,37.8667,-122.2622,0.12,69.1,0,0
a23:16:40.0 28/11/2017,37.8667,-122.2622,0.13,69.1,0,0
a23:16:42.0 28/11/2017,37.8667,-122.2622,0.13,69.1,0,0
a23:16:43.0 28/11/2017,37.8667,-122.2622,0.13,69.1,0,0
a23:16:44.0 28/11/2017,37.8667,-122.2622,0.14,69.1,0,0
a23:16:46.0 28/11/2017,37.8667,-122.2622,0.13,69.1,0,0
a23:16:47.0 28/11/2017,37.8667,-122.2622,0.14,69.1,0,0
a23:16:48.0 28/11/2017,37.8667,-122.2622,0.16,69.1,0,0
a23:16:50.0 28/11/2017,37.8667,-122.2622,0.16,69.1,0,0
a23:16:51.0 28/11/2017,37.8667,-122.2622,0.17,69.1,0,0
a23:16:52.984 28/11/2017,37.8667,-122.2622,0.17,69.1,0,0
a23:16:54.0 28/11/2017,37.8667,-122.2622,0.18,69.1,0,0
a23:16:55.0 28/11/2017,37.8667,-122.2622,0.21,69.1,0,0
a23:16:56.984 28/11/2017,37.8667,-122.2622,0.24,69.1,0,0
a23:16:58.0 28/11/2017,37.8667,-122.2622,0.21,69.1,0,0
a23:16:59.0 28/11/2017,37.8667,-122.2622,0.22,69.1,0,0
a23:17:0.0 28/11/2017,37.8667,-122.2622,0.2,69.1,0,0
aa23:17:3.0 28/11/2017,37.8667,-122.2622,0.13,69.1,1,0
aa23:17:7.0 28/11/2017,37.8667,-122.2622,0.28,69.1,1,0
a23:17:8.0 28/11/2017,37.8667,-122.2622,0.32,69.1,0,0
a23:17:8.984 28/11/2017,37.8667,-122.2622,0.28,69.1,0,0
a23:17:11.0 28/11/2017,37.8667,-122.2622,0.25,69.1,0,0
a23:17:16.0 28/11/2017,37.8667,-122.2622,0.17,69.1,1,0
a23:17:16.984 28/11/2017,37.8667,-122.2622,0.16,69.1,0,0
